_id	user	session_id	date	ua	screen	screenh	windoww	windowh	documentw	documenth
5e4a50654d1e4ccaca5d77d5	Alluserspreauth	366758616	2020-02-17 09:35:49.089692	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36	1920	1080	1920	951	1920	951
5e4a50894d1e4ccaca5d7907	User1	366758624	2020-02-17 09:36:25.167894	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36	1920	1080	1920	951	1920	951
5e4a50a14d1e4ccaca5d790a	Alluserspreauth	366758629	2020-02-17 09:36:49.672438	Mozilla/5.0 (X11; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0	1920	1080	1856	919	1856	919
5e4a50e44d1e4ccaca5d7df6	User2	366758657	2020-02-17 09:37:56.841162	Mozilla/5.0 (X11; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0	1920	1080	1856	919	1856	919
5e4a524b4d1e4ccaca5d8425	Alluserspreauth	366758800	2020-02-17 09:43:55.033767	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36	1920	1080	1853	900	1853	900
5e4a52904d1e4ccaca5d8559	User3	366758841	2020-02-17 09:45:04.161713	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36	1920	1080	1853	900	1853	900
5e4a533d4d1e4ccaca5d8a86	Alluserspreauth	366758946	2020-02-17 09:47:57.721913	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.106 Safari/537.36	1280	720	1280	610	1263	661
5e4a536b4d1e4ccaca5d8f70	User4	366758982	2020-02-17 09:48:43.439740	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.106 Safari/537.36	1280	720	1280	610	1280	610
5e4a56df4d1e4ccaca5d9f4d	Alluserspreauth	366759690	2020-02-17 10:03:27.663274	Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0	1920	1080	1853	951	1853	951
5e4a57134d1e4ccaca5da093	User5	366759743	2020-02-17 10:04:19.177930	Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0	1920	1080	1853	951	1853	951
5e4a5ac74d1e4ccaca5da48d	Alluserspreauth	366760691	2020-02-17 10:20:07.078845	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36	1920	1080	1850	981	1850	981
5e4a5dd44d1e4ccaca5da8c1	User6	366761628	2020-02-17 10:33:08.289365	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36	1920	1080	1850	932	1850	932
5e4a5de94d1e4ccaca5da994	User6	366761654	2020-02-17 10:33:29.049405	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36	1920	1080	1850	932	1850	932
5e4a5dea4d1e4ccaca5da997	User6	366761658	2020-02-17 10:33:30.443709	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36	1920	1080	1850	932	1850	932
5e4a60184d1e4ccaca5dad89	User4	366762360	2020-02-17 10:42:48.906132	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.106 Safari/537.36	1280	720	1280	610	1280	610
